id;nazwa miasta;nazwa województwa
244;Opoczno;ŁÓDZKIE
245;Konstantynów Łódzki;ŁÓDZKIE
246;Pabianice;ŁÓDZKIE
247;Działoszyn;ŁÓDZKIE
248;Pajęczno;ŁÓDZKIE
249;Sulejów;ŁÓDZKIE
250;Wolbórz;ŁÓDZKIE
251;Poddębice;ŁÓDZKIE
252;Uniejów;ŁÓDZKIE
253;Radomsko;ŁÓDZKIE
254;Kamieńsk;ŁÓDZKIE
255;Przedbórz;ŁÓDZKIE
256;Rawa Mazowiecka;ŁÓDZKIE
257;Biała Rawska;ŁÓDZKIE
258;Sieradz;ŁÓDZKIE
259;Błaszki;ŁÓDZKIE
260;Warta;ŁÓDZKIE
261;Złoczew;ŁÓDZKIE
262;Tomaszów Mazowiecki;ŁÓDZKIE
263;Wieluń;ŁÓDZKIE
264;Wieruszów;ŁÓDZKIE
265;Zduńska Wola;ŁÓDZKIE
266;Szadek;ŁÓDZKIE
267;Głowno;ŁÓDZKIE
268;Ozorków;ŁÓDZKIE
269;Zgierz;ŁÓDZKIE
270;Aleksandrów Łódzki;ŁÓDZKIE
271;Stryków;ŁÓDZKIE
272;Brzeziny;ŁÓDZKIE
273;Łódź;ŁÓDZKIE
274;Piotrków Trybunalski;ŁÓDZKIE
275;Skierniewice;ŁÓDZKIE
276;Bochnia;MAŁOPOLSKIE
277;Nowy Wiśnicz;MAŁOPOLSKIE
278;Brzesko;MAŁOPOLSKIE
279;Czchów;MAŁOPOLSKIE
280;Alwernia;MAŁOPOLSKIE
281;Chrzanów;MAŁOPOLSKIE
282;Libiąż;MAŁOPOLSKIE
283;Trzebinia;MAŁOPOLSKIE
284;Dąbrowa Tarnowska;MAŁOPOLSKIE
285;Szczucin;MAŁOPOLSKIE
286;Gorlice;MAŁOPOLSKIE
287;Biecz;MAŁOPOLSKIE
288;Bobowa;MAŁOPOLSKIE
289;Krzeszowice;MAŁOPOLSKIE
290;Skała;MAŁOPOLSKIE
291;Skawina;MAŁOPOLSKIE
292;Słomniki;MAŁOPOLSKIE
293;Świątniki Górne;MAŁOPOLSKIE
294;Limanowa;MAŁOPOLSKIE
295;Mszana Dolna;MAŁOPOLSKIE
296;Miechów;MAŁOPOLSKIE
297;Dobczyce;MAŁOPOLSKIE
298;Myślenice;MAŁOPOLSKIE
299;Sułkowice;MAŁOPOLSKIE
300;Grybów;MAŁOPOLSKIE
301;Krynica-Zdrój;MAŁOPOLSKIE
302;Muszyna;MAŁOPOLSKIE
303;Piwniczna-Zdrój;MAŁOPOLSKIE
304;Stary Sącz;MAŁOPOLSKIE
305;Nowy Targ;MAŁOPOLSKIE
306;Szczawnica;MAŁOPOLSKIE
307;Rabka-Zdrój;MAŁOPOLSKIE
308;Bukowno;MAŁOPOLSKIE
309;Olkusz;MAŁOPOLSKIE
310;Wolbrom;MAŁOPOLSKIE
311;Oświęcim;MAŁOPOLSKIE
312;Brzeszcze;MAŁOPOLSKIE
313;Chełmek;MAŁOPOLSKIE
314;Kęty;MAŁOPOLSKIE
315;Zator;MAŁOPOLSKIE
316;Nowe Brzesko;MAŁOPOLSKIE
317;Proszowice;MAŁOPOLSKIE
318;Jordanów;MAŁOPOLSKIE
319;Sucha Beskidzka;MAŁOPOLSKIE
320;Maków Podhalański;MAŁOPOLSKIE
321;Ciężkowice;MAŁOPOLSKIE
322;Radłów;MAŁOPOLSKIE
323;Ryglice;MAŁOPOLSKIE
324;Tuchów;MAŁOPOLSKIE
325;Wojnicz;MAŁOPOLSKIE
326;Zakliczyn;MAŁOPOLSKIE
327;Żabno;MAŁOPOLSKIE
328;Zakopane;MAŁOPOLSKIE
329;Andrychów;MAŁOPOLSKIE
330;Kalwaria Zebrzydowska;MAŁOPOLSKIE
331;Wadowice;MAŁOPOLSKIE
332;Niepołomice;MAŁOPOLSKIE
333;Wieliczka;MAŁOPOLSKIE
334;Kraków;MAŁOPOLSKIE
335;Nowy Sącz;MAŁOPOLSKIE
336;Tarnów;MAŁOPOLSKIE
337;Białobrzegi;MAZOWIECKIE
338;Wyśmierzyce;MAZOWIECKIE
339;Ciechanów;MAZOWIECKIE
340;Glinojeck;MAZOWIECKIE
341;Garwolin;MAZOWIECKIE
342;Łaskarzew;MAZOWIECKIE
343;Pilawa;MAZOWIECKIE
344;Żelechów;MAZOWIECKIE
345;Gostynin;MAZOWIECKIE
346;Milanówek;MAZOWIECKIE
347;Podkowa Leśna;MAZOWIECKIE
348;Grodzisk Mazowiecki;MAZOWIECKIE
349;Grójec;MAZOWIECKIE
350;Mogielnica;MAZOWIECKIE
351;Nowe Miasto nad Pilicą;MAZOWIECKIE
352;Warka;MAZOWIECKIE
353;Kozienice;MAZOWIECKIE
354;Legionowo;MAZOWIECKIE
355;Serock;MAZOWIECKIE
356;Lipsko;MAZOWIECKIE
357;Łosice;MAZOWIECKIE
358;Maków Mazowiecki;MAZOWIECKIE
359;Różan;MAZOWIECKIE
360;Mińsk Mazowiecki;MAZOWIECKIE
361;Halinów;MAZOWIECKIE
362;Kałuszyn;MAZOWIECKIE
363;Mrozy;MAZOWIECKIE
364;Sulejówek;MAZOWIECKIE
365;Mława;MAZOWIECKIE
366;Nowy Dwór Mazowiecki;MAZOWIECKIE
367;Nasielsk;MAZOWIECKIE
368;Zakroczym;MAZOWIECKIE
369;Myszyniec;MAZOWIECKIE
370;Ostrów Mazowiecka;MAZOWIECKIE
371;Brok;MAZOWIECKIE
372;Józefów;MAZOWIECKIE
373;Otwock;MAZOWIECKIE
374;Karczew;MAZOWIECKIE
375;Góra Kalwaria;MAZOWIECKIE
376;Konstancin-Jeziorna;MAZOWIECKIE
377;Piaseczno;MAZOWIECKIE
378;Tarczyn;MAZOWIECKIE
379;Drobin;MAZOWIECKIE
380;Gąbin;MAZOWIECKIE
381;Wyszogród;MAZOWIECKIE
382;Płońsk;MAZOWIECKIE
383;Raciąż;MAZOWIECKIE
384;Piastów;MAZOWIECKIE
385;Pruszków;MAZOWIECKIE
386;Brwinów;MAZOWIECKIE
387;Przasnysz;MAZOWIECKIE
388;Chorzele;MAZOWIECKIE
389;Przysucha;MAZOWIECKIE
390;Pułtusk;MAZOWIECKIE
391;Pionki;MAZOWIECKIE
392;Iłża;MAZOWIECKIE
393;Skaryszew;MAZOWIECKIE
394;Mordy;MAZOWIECKIE
395;Sierpc;MAZOWIECKIE
396;Sochaczew;MAZOWIECKIE
397;Sokołów Podlaski;MAZOWIECKIE
398;Kosów Lacki;MAZOWIECKIE
399;Szydłowiec;MAZOWIECKIE
400;Błonie;MAZOWIECKIE
401;Łomianki;MAZOWIECKIE
402;Ożarów Mazowiecki;MAZOWIECKIE
403;Węgrów;MAZOWIECKIE
404;Łochów;MAZOWIECKIE
405;Kobyłka;MAZOWIECKIE
406;Marki;MAZOWIECKIE
407;Ząbki;MAZOWIECKIE
408;Zielonka;MAZOWIECKIE
409;Radzymin;MAZOWIECKIE
410;Tłuszcz;MAZOWIECKIE
411;Wołomin;MAZOWIECKIE
412;Wyszków;MAZOWIECKIE
413;Zwoleń;MAZOWIECKIE
414;Bieżuń;MAZOWIECKIE
415;Żuromin;MAZOWIECKIE
416;Żyrardów;MAZOWIECKIE
417;Mszczonów;MAZOWIECKIE
418;Ostrołęka;MAZOWIECKIE
419;Płock;MAZOWIECKIE
420;Radom;MAZOWIECKIE
421;Siedlce;MAZOWIECKIE
422;Brzeg;OPOLSKIE
423;Grodków;OPOLSKIE
424;Lewin Brzeski;OPOLSKIE
425;Baborów;OPOLSKIE
426;Głubczyce;OPOLSKIE
427;Kietrz;OPOLSKIE
428;Kędzierzyn-Koźle;OPOLSKIE
429;Byczyna;OPOLSKIE
430;Kluczbork;OPOLSKIE
431;Wołczyn;OPOLSKIE
432;Gogolin;OPOLSKIE
433;Krapkowice;OPOLSKIE
434;Zdzieszowice;OPOLSKIE
435;Namysłów;OPOLSKIE
436;Głuchołazy;OPOLSKIE
437;Korfantów;OPOLSKIE
438;Nysa;OPOLSKIE
439;Otmuchów;OPOLSKIE
440;Paczków;OPOLSKIE
441;Dobrodzień;OPOLSKIE
442;Gorzów Śląski;OPOLSKIE
443;Olesno;OPOLSKIE
444;Praszka;OPOLSKIE
445;Niemodlin;OPOLSKIE
446;Ozimek;OPOLSKIE
447;Prószków;OPOLSKIE
448;Biała;OPOLSKIE
449;Głogówek;OPOLSKIE
450;Prudnik;OPOLSKIE
451;Kolonowskie;OPOLSKIE
452;Leśnica;OPOLSKIE
453;Strzelce Opolskie;OPOLSKIE
454;Ujazd;OPOLSKIE
455;Zawadzkie;OPOLSKIE
456;Opole;OPOLSKIE
457;Ustrzyki Dolne;PODKARPACKIE
458;Brzozów;PODKARPACKIE
459;Dębica;PODKARPACKIE
460;Brzostek;PODKARPACKIE
461;Pilzno;PODKARPACKIE
462;Jarosław;PODKARPACKIE
463;Radymno;PODKARPACKIE
464;Pruchnik;PODKARPACKIE
465;Jasło;PODKARPACKIE
466;Kołaczyce;PODKARPACKIE
467;Kolbuszowa;PODKARPACKIE
468;Dukla;PODKARPACKIE
469;Iwonicz-Zdrój;PODKARPACKIE
470;Jedlicze;PODKARPACKIE
471;Rymanów;PODKARPACKIE
472;Leżajsk;PODKARPACKIE
473;Nowa Sarzyna;PODKARPACKIE
474;Lubaczów;PODKARPACKIE
475;Cieszanów;PODKARPACKIE
476;Narol;PODKARPACKIE
477;Oleszyce;PODKARPACKIE
478;Łańcut;PODKARPACKIE
479;Mielec;PODKARPACKIE
480;Przecław;PODKARPACKIE
481;Radomyśl Wielki;PODKARPACKIE
482;Nisko;PODKARPACKIE
483;Rudnik nad Sanem;PODKARPACKIE
484;Ulanów;PODKARPACKIE
485;Przeworsk;PODKARPACKIE
486;Kańczuga;PODKARPACKIE
487;Sieniawa;PODKARPACKIE
488;Ropczyce;PODKARPACKIE
489;Sędziszów Małopolski;PODKARPACKIE
490;Dynów;PODKARPACKIE
491;Błażowa;PODKARPACKIE
492;Boguchwała;PODKARPACKIE
493;Głogów Małopolski;PODKARPACKIE
494;Sokołów Małopolski;PODKARPACKIE
495;Tyczyn;PODKARPACKIE
496;Sanok;PODKARPACKIE
497;Zagórz;PODKARPACKIE
498;Stalowa Wola;PODKARPACKIE
499;Zaklików;PODKARPACKIE
500;Strzyżów;PODKARPACKIE
501;Baranów Sandomierski;PODKARPACKIE
502;Nowa Dęba;PODKARPACKIE
503;Lesko;PODKARPACKIE
504;Krosno;PODKARPACKIE
505;Przemyśl;PODKARPACKIE
506;Rzeszów;PODKARPACKIE
507;Tarnobrzeg;PODKARPACKIE
508;Augustów;PODLASKIE
509;Lipsk;PODLASKIE
510;Choroszcz;PODLASKIE
511;Czarna Białostocka;PODLASKIE
512;Łapy;PODLASKIE
513;Michałowo;PODLASKIE
514;Supraśl;PODLASKIE
515;Suraż;PODLASKIE
516;Tykocin;PODLASKIE
517;Wasilków;PODLASKIE
518;Zabłudów;PODLASKIE
519;Bielsk Podlaski;PODLASKIE
520;Brańsk;PODLASKIE
521;Grajewo;PODLASKIE
522;Rajgród;PODLASKIE
523;Szczuczyn;PODLASKIE
524;Hajnówka;PODLASKIE
525;Kleszczele;PODLASKIE
526;Kolno;PODLASKIE
527;Stawiski;PODLASKIE
528;Jedwabne;PODLASKIE
529;Nowogród;PODLASKIE
530;Goniądz;PODLASKIE
531;Knyszyn;PODLASKIE
532;Mońki;PODLASKIE
533;Sejny;PODLASKIE
534;Siemiatycze;PODLASKIE
535;Drohiczyn;PODLASKIE
536;Dąbrowa Białostocka;PODLASKIE
537;Krynki;PODLASKIE
538;Sokółka;PODLASKIE
539;Suchowola;PODLASKIE
540;Wysokie Mazowieckie;PODLASKIE
541;Ciechanowiec;PODLASKIE
542;Czyżew;PODLASKIE
543;Szepietowo;PODLASKIE
544;Zambrów;PODLASKIE
545;Białystok;PODLASKIE
546;Łomża;PODLASKIE
547;Suwałki;PODLASKIE
548;Bytów;POMORSKIE
549;Miastko;POMORSKIE
550;Chojnice;POMORSKIE
551;Brusy;POMORSKIE
552;Czersk;POMORSKIE
553;Człuchów;POMORSKIE
554;Czarne;POMORSKIE
555;Debrzno;POMORSKIE
556;Pruszcz Gdański;POMORSKIE
557;Kartuzy;POMORSKIE
558;Żukowo;POMORSKIE
559;Kościerzyna;POMORSKIE
560;Kwidzyn;POMORSKIE
561;Prabuty;POMORSKIE
562;Lębork;POMORSKIE
563;Łeba;POMORSKIE
564;Malbork;POMORSKIE
565;Nowy Staw;POMORSKIE
566;Krynica Morska;POMORSKIE
567;Nowy Dwór Gdański;POMORSKIE
568;Hel;POMORSKIE
569;Jastarnia;POMORSKIE
570;Puck;POMORSKIE
571;Władysławowo;POMORSKIE
572;Ustka;POMORSKIE
573;Kępice;POMORSKIE
574;Czarna Woda;POMORSKIE
575;Skórcz;POMORSKIE
576;Starogard Gdański;POMORSKIE
577;Skarszewy;POMORSKIE
578;Tczew;POMORSKIE
579;Gniew;POMORSKIE
580;Pelplin;POMORSKIE
581;Reda;POMORSKIE
582;Rumia;POMORSKIE
583;Wejherowo;POMORSKIE
584;Dzierzgoń;POMORSKIE
585;Sztum;POMORSKIE
586;Gdańsk;POMORSKIE
587;Gdynia;POMORSKIE
588;Słupsk;POMORSKIE
589;Sopot;POMORSKIE
590;Będzin;ŚLĄSKIE
591;Czeladź;ŚLĄSKIE
592;Wojkowice;ŚLĄSKIE
593;Siewierz;ŚLĄSKIE
594;Sławków;ŚLĄSKIE
595;Szczyrk;ŚLĄSKIE
596;Czechowice-Dziedzice;ŚLĄSKIE
597;Wilamowice;ŚLĄSKIE
598;Cieszyn;ŚLĄSKIE
599;Ustroń;ŚLĄSKIE
600;Wisła;ŚLĄSKIE
601;Skoczów;ŚLĄSKIE
602;Strumień;ŚLĄSKIE
603;Blachownia;ŚLĄSKIE
604;Koniecpol;ŚLĄSKIE
605;Knurów;ŚLĄSKIE
606;Pyskowice;ŚLĄSKIE
607;Sośnicowice;ŚLĄSKIE
608;Toszek;ŚLĄSKIE
609;Kłobuck;ŚLĄSKIE
610;Krzepice;ŚLĄSKIE
611;Lubliniec;ŚLĄSKIE
612;Woźniki;ŚLĄSKIE
613;Łaziska Górne;ŚLĄSKIE
614;Mikołów;ŚLĄSKIE
615;Orzesze;ŚLĄSKIE
616;Myszków;ŚLĄSKIE
617;Koziegłowy;ŚLĄSKIE
618;Żarki;ŚLĄSKIE
619;Pszczyna;ŚLĄSKIE
620;Racibórz;ŚLĄSKIE
621;Krzanowice;ŚLĄSKIE
622;Kuźnia Raciborska;ŚLĄSKIE
623;Czerwionka-Leszczyny;ŚLĄSKIE
624;Kalety;ŚLĄSKIE
625;Miasteczko Śląskie;ŚLĄSKIE
626;Radzionków;ŚLĄSKIE
627;Tarnowskie Góry;ŚLĄSKIE
628;Bieruń;ŚLĄSKIE
629;Imielin;ŚLĄSKIE
630;Lędziny;ŚLĄSKIE
631;Pszów;ŚLĄSKIE
632;Radlin;ŚLĄSKIE
633;Rydułtowy;ŚLĄSKIE
634;Wodzisław Śląski;ŚLĄSKIE
635;Poręba;ŚLĄSKIE
636;Zawiercie;ŚLĄSKIE
637;Łazy;ŚLĄSKIE
638;Ogrodzieniec;ŚLĄSKIE
639;Pilica;ŚLĄSKIE
640;Szczekociny;ŚLĄSKIE
641;Żywiec;ŚLĄSKIE
642;Bielsko-Biała;ŚLĄSKIE
643;Bytom;ŚLĄSKIE
644;Chorzów;ŚLĄSKIE
645;Częstochowa;ŚLĄSKIE
646;Dąbrowa Górnicza;ŚLĄSKIE
647;Gliwice;ŚLĄSKIE
648;Jastrzębie-Zdrój;ŚLĄSKIE
649;Jaworzno;ŚLĄSKIE
650;Katowice;ŚLĄSKIE
651;Mysłowice;ŚLĄSKIE
652;Piekary Śląskie;ŚLĄSKIE
653;Ruda Śląska;ŚLĄSKIE
654;Rybnik;ŚLĄSKIE
655;Siemianowice Śląskie;ŚLĄSKIE
656;Sosnowiec;ŚLĄSKIE
657;Świętochłowice;ŚLĄSKIE
658;Tychy;ŚLĄSKIE
659;Zabrze;ŚLĄSKIE
660;Żory;ŚLĄSKIE
661;Busko-Zdrój;ŚWIĘTOKRZYSKIE
662;Stopnica;ŚWIĘTOKRZYSKIE
663;Jędrzejów;ŚWIĘTOKRZYSKIE
664;Małogoszcz;ŚWIĘTOKRZYSKIE
665;Sędziszów;ŚWIĘTOKRZYSKIE
666;Kazimierza Wielka;ŚWIĘTOKRZYSKIE
667;Skalbmierz;ŚWIĘTOKRZYSKIE
668;Bodzentyn;ŚWIĘTOKRZYSKIE
669;Chęciny;ŚWIĘTOKRZYSKIE
670;Chmielnik;ŚWIĘTOKRZYSKIE
671;Daleszyce;ŚWIĘTOKRZYSKIE
672;Końskie;ŚWIĘTOKRZYSKIE
673;Stąporków;ŚWIĘTOKRZYSKIE
674;Opatów;ŚWIĘTOKRZYSKIE
675;Ożarów;ŚWIĘTOKRZYSKIE
